Time (UTCG),Lat (deg),Lon (deg),Alt (km),ne_iri16_cm-3,Te_iri16_K,Ti_iri16_K,O+_iri16_cm-3,O2+_iri16_cm-3,NO+_iri16_cm-3
1 Jan 2011 00:27:11.000,-36.347,-109.176,1999.198608,4105.403904,4215.48388671875,4215.48388671875,51.168164,,
1 Jan 2011 00:27:12.000,-36.301,-109.177,1998.035673,4114.730496,4214.3994140625,4214.3994140625,51.66352,,
1 Jan 2011 00:27:13.000,-36.256,-109.177,1996.8722920000002,4124.006144,4212.5595703125,4212.298828125,52.156552,,
1 Jan 2011 00:27:14.000,-36.211,-109.178,1995.708466,4133.29792,4211.18896484375,4211.18896484375,52.650804,,
1 Jan 2011 00:27:15.000,-36.165,-109.179,1994.544194,4142.736384,4210.0869140625,4210.0869140625,53.157036,,
1 Jan 2011 00:27:16.000,-36.12,-109.179,1993.379479,4152.115456,4208.4267578125,4208.0,53.657912,,
1 Jan 2011 00:27:17.000,-36.075,-109.18,1992.2143190000002,4161.517056,4207.0234375,4206.85009765625,54.17212,,
1 Jan 2011 00:27:18.000,-36.029,-109.18,1991.0487170000001,4171.08224,4205.751953125,4205.751953125,54.688444,,
1 Jan 2011 00:27:19.000,-35.984,-109.181,1989.882672,4180.548608,4204.611328125,4204.611328125,55.2156,,
1 Jan 2011 00:27:20.000,-35.939,-109.181,1988.7161850000002,4190.070528,4202.822265625,4202.4794921875,55.738632,,
1 Jan 2011 00:27:21.000,-35.893,-109.182,1987.5492570000001,4199.727616,4201.42138671875,4201.341796875,56.274764,,
1 Jan 2011 00:27:22.000,-35.848,-109.182,1986.381889,4209.327104,4200.19287109375,4200.19287109375,56.808336,,
1 Jan 2011 00:27:23.000,-35.802,-109.18299999999999,1985.21408,4219.056896,4199.056640625,4199.056640625,57.356356,,
1 Jan 2011 00:27:24.000,-35.757,-109.184,1984.045833,4228.7168,4197.14794921875,4196.85791015625,57.910404,,
1 Jan 2011 00:27:25.000,-35.711,-109.184,1982.877147,4238.53696,4195.734375,4195.732421875,58.46318,,
1 Jan 2011 00:27:26.000,-35.666,-109.185,1981.7080230000001,4248.266752,4194.53369140625,4194.53369140625,59.009304,,
1 Jan 2011 00:27:27.000,-35.62,-109.185,1980.5384609999999,4258.16192,4193.38427734375,4193.38427734375,59.578396,,
1 Jan 2011 00:27:28.000,-35.575,-109.186,1979.3684629999998,4267.968768,4191.4482421875,4191.1875,60.152304,,
1 Jan 2011 00:27:29.000,-35.529,-109.18700000000001,1978.198029,4277.924608,4190.0,4190.0,60.730648,,
1 Jan 2011 00:27:30.000,-35.484,-109.18700000000001,1977.02716,4287.817984,4188.8154296875,4188.8154296875,61.31044,,
1 Jan 2011 00:27:31.000,-35.438,-109.18799999999999,1975.855856,4297.851904,4187.115234375,4186.6318359375,61.901588,,
1 Jan 2011 00:27:32.000,-35.393,-109.18799999999999,1974.684118,4307.825664,4185.658203125,4185.451171875,62.490444,,
1 Jan 2011 00:27:33.000,-35.347,-109.189,1973.511946,4317.935104,4184.244140625,4184.244140625,63.094496,,
1 Jan 2011 00:27:34.000,-35.302,-109.19,1972.3393420000002,4327.967232,4183.037109375,4183.037109375,63.704616,,
1 Jan 2011 00:27:35.000,-35.256,-109.19,1971.166305,4338.172928,4181.27490234375,4180.83837890625,64.310812,,
1 Jan 2011 00:27:36.000,-35.211,-109.191,1969.992837,4348.28032,4179.810546875,4179.62109375,64.930652,,
1 Jan 2011 00:27:37.000,-35.165,-109.191,1968.818939,4358.562304,4178.41552734375,4178.41552734375,65.55338,,
1 Jan 2011 00:27:38.000,-35.119,-109.19200000000001,1967.64461,4368.869888,4177.181640625,4177.181640625,66.188012,,
1 Jan 2011 00:27:39.000,-35.074,-109.193,1966.469852,4379.0976,4175.37060546875,4174.935546875,66.824068,,
1 Jan 2011 00:27:40.000,-35.028,-109.193,1965.294665,4389.500416,4173.88427734375,4173.7138671875,67.467112,,
1 Jan 2011 00:27:41.000,-34.982,-109.194,1964.119049,4399.924736,4172.439453125,4172.439453125,68.107896,,
1 Jan 2011 00:27:42.000,-34.937,-109.194,1962.943006,4410.282496,4171.20751953125,4171.20751953125,68.755176,,
1 Jan 2011 00:27:43.000,-34.891,-109.195,1961.7665370000002,4420.790272,4169.41357421875,4168.95849609375,69.42252,,
1 Jan 2011 00:27:44.000,-34.845,-109.196,1960.589641,4431.336448,4167.89697265625,4167.69287109375,70.093328,,
1 Jan 2011 00:27:45.000,-34.799,-109.196,1959.412319,4441.94048,4166.4501953125,4166.4501953125,70.771288,,
1 Jan 2011 00:27:46.000,-34.754,-109.197,1958.234573,4452.440576,4165.18505859375,4165.18505859375,71.449256,,
1 Jan 2011 00:27:47.000,-34.708,-109.198,1957.056403,4463.112704,4163.35791015625,4162.88916015625,72.1408,,
1 Jan 2011 00:27:48.000,-34.662,-109.198,1955.8778079999997,4473.829376,4161.84814453125,4161.64306640625,72.838504,,
1 Jan 2011 00:27:49.000,-34.616,-109.199,1954.698791,4484.57984,4160.35791015625,4160.35791015625,73.540088,,
1 Jan 2011 00:27:50.000,-34.571,-109.2,1953.519352,4495.250432,4159.06494140625,4159.06494140625,74.252664,,
1 Jan 2011 00:27:51.000,-34.525,-109.2,1952.3394920000003,4506.092544,4157.2734375,4156.78955078125,74.96272,,
1 Jan 2011 00:27:52.000,-34.479,-109.20100000000001,1951.1592100000003,4516.96896,4155.7421875,4155.4990234375,75.695864,,
1 Jan 2011 00:27:53.000,-34.433,-109.20200000000001,1949.978508,4527.887872,4154.20166015625,4154.1845703125,76.419816,,
1 Jan 2011 00:27:54.000,-34.387,-109.20200000000001,1948.797387,4538.854912,4152.89453125,4152.89453125,77.155464,,
1 Jan 2011 00:27:55.000,-34.341,-109.20299999999999,1947.6158460000001,4549.857792,4151.58203125,4151.58203125,77.907544,,
1 Jan 2011 00:27:56.000,-34.296,-109.204,1946.4338879999998,4560.77312,4149.55810546875,4149.21533203125,78.640088,,
1 Jan 2011 00:27:57.000,-34.25,-109.204,1945.251512,4571.8656,4148.0087890625,4147.9189453125,79.40296,,
1 Jan 2011 00:27:58.000,-34.204,-109.205,1944.068719,4582.989312,4146.58837890625,4146.58837890625,80.17208,,
1 Jan 2011 00:27:59.000,-34.158,-109.206,1942.88551,4594.158592,4145.2685546875,4145.2685546875,80.95036,,
1 Jan 2011 00:28:00.000,-34.111999999999995,-109.206,1941.7018850000002,4600.622592,4143.17431640625,4143.17431640625,79.734128,,
1 Jan 2011 00:28:01.000,-34.066,-109.20700000000001,1940.5178460000002,4611.807744,4141.81201171875,4141.81201171875,80.505272,,
1 Jan 2011 00:28:02.000,-34.02,-109.208,1939.3333920000002,4623.031808,4139.8310546875,4139.46044921875,81.285048,,
1 Jan 2011 00:28:03.000,-33.974000000000004,-109.208,1938.148525,4634.312704,4138.24462890625,4138.109375,82.07596,,
1 Jan 2011 00:28:04.000,-33.928000000000004,-109.209,1936.963245,4645.622784,4136.7333984375,4136.7333984375,82.868872,,
1 Jan 2011 00:28:05.000,-33.882,-109.21,1935.7775530000001,4656.986112,4135.375,4135.375,83.66892,,
1 Jan 2011 00:28:06.000,-33.836,-109.21,1934.5914489999998,4668.39552,4133.48583984375,4133.015625,84.482192,,
1 Jan 2011 00:28:07.000,-33.79,-109.211,1933.4049350000003,4679.835136,4131.888671875,4131.626953125,85.302208,,
1 Jan 2011 00:28:08.000,-33.744,-109.212,1932.21801,4691.323904,4130.28125,4130.2197265625,86.12876,,
1 Jan 2011 00:28:09.000,-33.698,-109.213,1931.030677,4702.85312,4128.841796875,4128.841796875,86.970704,,
1 Jan 2011 00:28:10.000,-33.652,-109.213,1929.842934,4714.43456,4127.453125,4127.453125,87.805312,,
1 Jan 2011 00:28:11.000,-33.606,-109.214,1928.6547829999997,4726.052352,4125.4560546875,4125.05517578125,88.651376,,
1 Jan 2011 00:28:12.000,-33.56,-109.215,1927.4662260000002,4737.715712,4123.84765625,4123.61962890625,89.503456,,
1 Jan 2011 00:28:13.000,-33.514,-109.215,1926.277261,4749.425664,4122.23046875,4122.22265625,90.36556,,
1 Jan 2011 00:28:14.000,-33.468,-109.21600000000001,1925.0878899999998,4761.1776,4120.794921875,4120.794921875,91.243192,,
1 Jan 2011 00:28:15.000,-33.422,-109.21700000000001,1923.898114,4772.9664,4119.388671875,4119.388671875,92.126712,,
1 Jan 2011 00:28:16.000,-33.375,-109.21799999999999,1922.707934,4784.945152,4117.35009765625,4116.97119140625,93.02372,,
1 Jan 2011 00:28:17.000,-33.329,-109.21799999999999,1921.5173489999997,4796.83328,4115.7158203125,4115.5537109375,93.925472,,
1 Jan 2011 00:28:18.000,-33.283,-109.219,1920.326362,4808.76544,4114.1103515625,4114.1103515625,94.830472,,
1 Jan 2011 00:28:19.000,-33.236999999999995,-109.22,1919.1349719999998,4820.731392,4112.6591796875,4112.6591796875,95.744944,,
1 Jan 2011 00:28:20.000,-33.191,-109.221,1917.94318,4832.754176,4111.22021484375,4111.22021484375,96.674856,,
1 Jan 2011 00:28:21.000,-33.144,-109.221,1916.750986,4844.961792,4109.13037109375,4108.78662109375,97.61324,,
1 Jan 2011 00:28:22.000,-33.098,-109.22200000000001,1915.558393,4857.063936,4107.490234375,4107.328125,98.56256,,
1 Jan 2011 00:28:23.000,-33.052,-109.223,1914.3653989999998,4869.218816,4105.8623046875,4105.8623046875,99.520544,,
1 Jan 2011 00:28:24.000,-33.006,-109.223,1913.1720070000001,4881.426432,4104.4150390625,4104.4150390625,100.466856,,
1 Jan 2011 00:28:25.000,-32.959,-109.22399999999999,1911.978216,4893.807104,4102.9541015625,4102.9541015625,101.450112,,
1 Jan 2011 00:28:26.000,-32.913000000000004,-109.225,1910.784028,4906.096128,4100.82470703125,4100.47119140625,102.431064,,
1 Jan 2011 00:28:27.000,-32.867,-109.226,1909.5894420000002,4918.429184,4099.1767578125,4098.97119140625,103.404624,,
1 Jan 2011 00:28:28.000,-32.821,-109.226,1908.3944609999999,4930.812928,4097.515625,4097.515625,104.40396,,
1 Jan 2011 00:28:29.000,-32.774,-109.227,1907.1990829999997,4943.387648,4096.0078125,4096.0078125,105.419224,,
1 Jan 2011 00:28:30.000,-32.728,-109.228,1906.003311,4955.856384,4094.5087890625,4094.5087890625,106.43672,,
1 Jan 2011 00:28:31.000,-32.681999999999995,-109.229,1904.807145,4968.379392,4092.45361328125,4092.0263671875,107.476152,,
1 Jan 2011 00:28:32.000,-32.635,-109.23,1903.6105850000001,4981.087744,4090.760009765625,4090.520751953125,108.516728,,
1 Jan 2011 00:28:33.000,-32.589,-109.23,1902.413633,4993.698816,4089.070556640625,4089.0224609375,109.559264,,
1 Jan 2011 00:28:34.000,-32.543,-109.23100000000001,1901.2162879999998,5006.360064,4087.52099609375,4087.52099609375,110.60864,,
1 Jan 2011 00:28:35.000,-32.496,-109.23200000000001,1900.018553,5019.210752,4085.99365234375,4085.99365234375,111.69232,,
1 Jan 2011 00:28:36.000,-32.45,-109.23299999999999,1898.8204260000002,5031.958016,4084.4658203125,4084.4658203125,112.763224,,
1 Jan 2011 00:28:37.000,-32.403,-109.23299999999999,1897.62191,5044.90496,4082.27685546875,4081.977783203125,113.849256,,
1 Jan 2011 00:28:38.000,-32.357,-109.234,1896.423004,5057.751552,4080.568359375,4080.4306640625,114.943808,,
1 Jan 2011 00:28:39.000,-32.31,-109.235,1895.2237100000002,5070.791168,4078.90625,4078.90625,116.059896,,
1 Jan 2011 00:28:40.000,-32.264,-109.236,1894.024028,5083.73248,4077.341552734375,4077.341552734375,117.183984,,
1 Jan 2011 00:28:41.000,-32.217,-109.23700000000001,1892.823959,5096.861696,4075.81640625,4075.81640625,118.316528,,
1 Jan 2011 00:28:42.000,-32.171,-109.23700000000001,1891.623504,5109.898752,4073.69873046875,4073.28955078125,119.447872,,
1 Jan 2011 00:28:43.000,-32.124,-109.238,1890.4226629999998,5123.125248,4071.96875,4071.70556640625,120.593096,,
1 Jan 2011 00:28:44.000,-32.078,-109.23899999999999,1889.2214370000002,5136.260096,4070.23583984375,4070.1376953125,121.75436,,
1 Jan 2011 00:28:45.000,-32.031,-109.24,1888.0198269999999,5149.581824,4068.582275390625,4068.582275390625,122.933,,
1 Jan 2011 00:28:46.000,-31.985,-109.241,1886.8178329999998,5162.65216,4067.008056640625,4067.008056640625,124.114968,,
1 Jan 2011 00:28:47.000,-31.938000000000002,-109.241,1885.615457,5176.091136,4065.44384765625,4065.44384765625,125.301936,,
1 Jan 2011 00:28:48.000,-31.892,-109.242,1884.412698,5189.425152,4063.298583984375,4062.893310546875,126.504832,,
1 Jan 2011 00:28:49.000,-31.845,-109.243,1883.2095579999998,5202.962432,4061.548583984375,4061.31396484375,127.723888,,
1 Jan 2011 00:28:50.000,-31.798000000000002,-109.244,1882.006038,5216.54528,4059.798095703125,4059.716552734375,128.963056,,
1 Jan 2011 00:28:51.000,-31.752,-109.245,1880.8021379999998,5230.027776,4058.121337890625,4058.121337890625,130.200264,,
1 Jan 2011 00:28:52.000,-31.705,-109.245,1879.5978719999998,5243.707392,4056.5380859375,4056.5380859375,131.445712,,
1 Jan 2011 00:28:53.000,-31.659000000000002,-109.24600000000001,1878.3932280000001,5257.284608,4054.955810546875,4054.955810546875,132.70596,,
1 Jan 2011 00:28:54.000,-31.612,-109.24700000000001,1877.1882059999998,5271.058944,4052.78564453125,4052.355712890625,133.983256,,
1 Jan 2011 00:28:55.000,-31.565,-109.24799999999999,1875.9828059999998,5284.894208,4051.03271484375,4050.75244140625,135.275408,,
1 Jan 2011 00:28:56.000,-31.519000000000002,-109.249,1874.7770309999999,5298.613248,4049.2578125,4049.12548828125,136.563872,,
1 Jan 2011 00:28:57.000,-31.471999999999998,-109.25,1873.57088,5312.537088,4047.5078125,4047.5078125,137.882544,,
1 Jan 2011 00:28:58.000,-31.425,-109.25,1872.3643539999998,5326.51008,4045.909912109375,4045.909912109375,139.192688,,
