Time (UTCG),Lat (deg),Lon (deg),Alt (km),vx (km/sec),vy (km/sec),vz (km/sec),vx (km/sec).1,vy (km/sec).1,vz (km/sec).1,B_Tesla,Bx_Tesla,By_Tesla,Bz_Tesla
1 Jan 2011 00:00:00.000,-79.671,96.47399999999999,3020.692993,-0.956364,-5.7034519999999995,-1.017854,5.816845,-0.053679,-1.024261,1.785407411016017e-05,-2.3780957869705294e-06,-1.25724386731301e-06,1.7650268004117914e-05
1 Jan 2011 00:00:01.000,-79.705,96.52799999999999,3020.697139,-0.9571049999999999,-5.704111,-1.0134020000000001,5.817628,-0.053446,-1.01981,1.7853325137898986e-05,-2.3754993325621653e-06,-1.26436165260293e-06,1.7649351574830155e-05
1 Jan 2011 00:00:02.000,-79.73899999999999,96.583,3020.7004629999997,-0.9578450000000001,-5.7047669999999995,-1.0089489999999999,5.818408,-0.053212999999999996,-1.015358,1.785258965222333e-05,-2.3728519306581087e-06,-1.2715178724675525e-06,1.764844960062609e-05
1 Jan 2011 00:00:03.000,-79.774,96.63799999999999,3020.702966,-0.958585,-5.705419999999999,-1.0044959999999998,5.819186,-0.05297999999999999,-1.0109059999999999,1.7851790341595902e-05,-2.370203667099889e-06,-1.2788168486880915e-06,1.764746951957346e-05
1 Jan 2011 00:00:04.000,-79.808,96.694,3020.704647,-0.959325,-5.706071,-1.000042,5.819961,-0.052747,-1.006453,1.785105983221682e-05,-2.367503017298818e-06,-1.2860091585680614e-06,1.7646570404487803e-05
1 Jan 2011 00:00:05.000,-79.842,96.749,3020.705506,-0.960065,-5.706718,-0.9955879999999999,5.820733000000001,-0.052514,-1.002,1.7850300229306338e-05,-2.3648491818437086e-06,-1.2931587994058473e-06,1.764563535107269e-05
1 Jan 2011 00:00:06.000,-79.877,96.806,3020.705544,-0.9608040000000001,-5.707363,-0.991134,5.821502,-0.052280999999999994,-0.9975459999999999,1.784951793707458e-05,-2.362096315215524e-06,-1.3005318655536855e-06,1.764467082295025e-05
1 Jan 2011 00:00:07.000,-79.911,96.86200000000001,3020.70476,-0.961542,-5.708005,-0.9866790000000001,5.822269,-0.052048000000000004,-0.993092,1.7848762914152946e-05,-2.359389060660787e-06,-1.3077173617765206e-06,1.7643738156291713e-05
1 Jan 2011 00:00:08.000,-79.945,96.919,3020.703154,-0.9622809999999999,-5.7086440000000005,-0.982223,5.823033000000001,-0.051815,-0.9886370000000001,1.784802054547505e-05,-2.356630494102453e-06,-1.314940878216829e-06,1.764281895255858e-05
1 Jan 2011 00:00:09.000,-79.98,96.977,3020.700727,-0.963018,-5.709280000000001,-0.977767,5.823794,-0.051582,-0.984182,1.784723328403219e-05,-2.3538216004493953e-06,-1.3223470946590994e-06,1.764184394923532e-05
