Time (UTCG),Lat (deg),Lon (deg),Alt (km),ne_iri16_cm-3,Te_iri16_K,Ti_iri16_K,O+_iri16_cm-3,O2+_iri16_cm-3,NO+_iri16_cm-3
Mar 17 2015 00:50:00.000000000,87.5,-180.0,120.0,999999.904064,365.6618347167969,365.6618347167969,2.624459,4543.974912,16123.558912
Mar 17 2015 00:50:00.000000000,87.5,-175.0,120.0,20543.608832,365.6589660644531,365.6589660644531,2.5758295,4503.300608,16033.0752
Mar 17 2015 00:50:00.000000000,87.5,-170.0,120.0,20364.683264,365.65179443359375,365.65179443359375,2.51097525,4447.866368,15909.761024
Mar 17 2015 00:50:00.000000000,87.5,-165.0,120.0,20139.902976,365.6402587890625,365.6402587890625,2.431383,4378.290176,15754.774528
Mar 17 2015 00:50:00.000000000,87.5,-160.0,120.0,19871.481856,365.6239318847656,365.6239318847656,2.33883475,4295.345152,15569.557504
Mar 17 2015 00:50:00.000000000,87.5,-155.0,120.0,19562.190848,365.6027526855469,365.6027526855469,2.2353645,4199.996928,15355.901952
Mar 17 2015 00:50:00.000000000,87.5,-150.0,120.0,19215.120384,365.5765075683594,365.5765075683594,2.12316275,4093.30304,15115.838464
Mar 17 2015 00:50:00.000000000,87.5,-145.0,120.0,18833.774592,365.5453186035156,365.5453186035156,2.0045135,3976.46464,14851.664896
Mar 17 2015 00:50:00.000000000,87.5,-140.0,120.0,18422.09792,365.50909423828125,365.50909423828125,1.88176675,3850.812928,14565.98528
Mar 17 2015 00:50:00.000000000,87.5,-135.0,120.0,17984.284672,365.468017578125,365.468017578125,1.75724575,3717.733376,14261.603328
Mar 17 2015 00:50:00.000000000,87.5,-130.0,120.0,17524.709376,365.42230224609375,365.42230224609375,1.633194375,3578.650624,13941.465088
Mar 17 2015 00:50:00.000000000,87.5,-125.0,120.0,17048.05888,365.3722839355469,365.3722839355469,1.511768,3435.06688,13608.742912
Mar 17 2015 00:50:00.000000000,87.5,-120.0,120.0,16559.0016,365.31842041015625,365.31842041015625,1.463188125,3239.761408,13315.120128
Mar 17 2015 00:50:00.000000000,87.5,-115.0,120.0,16062.33088,365.2611389160156,365.2611389160156,1.342231,3097.485568,12961.0752
Mar 17 2015 00:50:00.000000000,87.5,-110.0,120.0,15562.769408,365.201171875,365.201171875,1.230304875,2954.711808,12604.614656
Mar 17 2015 00:50:00.000000000,87.5,-105.0,120.0,15064.91392,365.13909912109375,365.13909912109375,1.128936375,2813.036288,12248.736768
Mar 17 2015 00:50:00.000000000,87.5,-100.0,120.0,14573.0816,365.0755310058594,365.0755310058594,1.04077325,2673.41952,11896.794112
Mar 17 2015 00:50:00.000000000,87.5,-95.0,120.0,14091.455488,365.0114440917969,365.0114440917969,0.9682093125,2537.588736,11551.24224
Mar 17 2015 00:50:00.000000000,87.5,-90.0,120.0,13623.694336,364.947509765625,364.947509765625,0.9161100625,2406.810368,11214.464
Mar 17 2015 00:50:00.000000000,87.5,-85.0,120.0,13173.336064,364.88458251953125,364.88458251953125,0.8929056875,2282.821632,10888.261632
Mar 17 2015 00:50:00.000000000,87.5,-80.0,120.0,12743.327744,364.823486328125,364.823486328125,0.913420875,2168.661504,10572.530688
Mar 17 2015 00:50:00.000000000,87.5,-75.0,120.0,12336.277504,364.7651062011719,364.7651062011719,1.0053649375,2068.619392,10265.577472
Mar 17 2015 00:50:00.000000000,87.5,-70.0,120.0,11954.301952,364.7100524902344,364.7100524902344,1.208231,1989.664768,9962.525696
Mar 17 2015 00:50:00.000000000,87.5,-65.0,120.0,11599.300608,364.6591491699219,364.6591491699219,1.543107625,1938.035328,9659.035648
Mar 17 2015 00:50:00.000000000,87.5,-60.0,120.0,11272.707072,364.613037109375,364.613037109375,1.934679875,1906.552064,9363.774464
Mar 17 2015 00:50:00.000000000,87.5,-55.0,120.0,10975.535104,364.57232666015625,364.57232666015625,2.21618925,1872.685568,9100.381184
Mar 17 2015 00:50:00.000000000,87.5,-50.0,120.0,10708.738048,364.53753662109375,364.53753662109375,2.3181555,1823.33888,8882.93888
Mar 17 2015 00:50:00.000000000,87.5,-45.0,120.0,10472.833024,364.5089416503906,364.5089416503906,2.30458175,1765.055488,8705.37728
Mar 17 2015 00:50:00.000000000,87.5,-40.0,120.0,10268.161024,364.4868469238281,364.4868469238281,2.24883325,1707.866496,8557.96992
Mar 17 2015 00:50:00.000000000,87.5,-35.0,120.0,10095.0016,364.4715576171875,364.4715576171875,2.1878215,1657.355648,8435.38944
Mar 17 2015 00:50:00.000000000,87.5,-30.0,120.0,9953.467392,364.46295166015625,364.46295166015625,2.13480075,1615.605632,8335.66208
Mar 17 2015 00:50:00.000000000,87.5,-25.0,120.0,9843.577856,364.4611511230469,364.4611511230469,2.093721,1583.179904,8258.240512
Mar 17 2015 00:50:00.000000000,87.5,-20.0,120.0,9765.443584,364.46588134765625,364.46588134765625,2.065595125,1560.16384,8203.151872
Mar 17 2015 00:50:00.000000000,87.5,-15.0,120.0,9718.929408,364.47698974609375,364.47698974609375,2.050538375,1546.441344,8170.376192
Mar 17 2015 00:50:00.000000000,87.5,-10.0,120.0,9064.981504,364.4940490722656,364.4940490722656,1.796377,1360.164352,7702.967296
